J1022-5813      155.617083    -58.225000   1.643726  1.45e-13    36.000      0.20      714.00       *       *  
J1024-0719      156.161147     -7.322065   0.005162  1.85e-20     0.521      1.50        6.49   -1.90    0.89  
J1028-5819      157.116667    -58.318111   0.091403  1.61e-14     0.160      0.36       96.53       *       *  
J1031-6117      157.759333    -61.297389   0.306411  1.78e-15    10.000      0.12      506.80       *       *  
J1032-5206      158.115375    -52.102361   2.407622  1.79e-14    21.000      0.19      139.00       *       *  
J1032-5911      158.029167    -59.166667   0.464208  3.00e-15     7.700      0.93      418.20       *    2.16  
J1034-3224      158.581296    -32.407217   1.150590  2.30e-16    23.000      4.70       50.75       *    1.73  
J1035-6345      158.762833    -63.755114   0.579577  3.50e-16     8.200      0.24      189.70       *       *  
J1036-6559      159.083500    -65.985908   0.533502  1.36e-15     9.000      0.27      158.36       *       *  
J1038+0032      159.612221      0.545444   0.028852  6.70e-20     2.100      0.20       26.59       *       *  
J1038-5831      159.582083    -58.524217   0.661992  1.25e-15    16.000      0.79       72.74       *       *  
J1041-1942      160.400817    -19.703781   1.386368  9.45e-16    61.800      4.00       33.78   -1.40    1.55  
J1042-5521      160.502542    -55.351528   1.170859  6.73e-15    25.000      0.62      306.50       *    2.49  
J1043-6116      160.980375    -61.280778   0.288602  1.04e-14     7.000      0.91      449.20       *       *  
J1045-4509      161.459112    -45.165034   0.007474  1.77e-20     0.840      2.70       58.14   -2.00    1.37  
J1046+0304      161.680125      3.068583   0.326271  1.24e-16    23.000      0.30       25.30       *       *  
J1046-5813      161.578625    -58.231056   0.369427  1.14e-15     9.100      1.10      240.20       *    2.23  
J1047-3032      161.753390    -30.538334   0.330328  6.10e-17    16.000      0.18       52.54       *    3.03  
J1047-6709      161.867842    -67.164185   0.198451  1.69e-15     9.000      4.00      116.16       *    0.00  
J1048-5832      162.050833    -58.534944   0.123671  9.63e-14     5.600      6.50      129.10       *       *  
J1049-5833      162.459750    -58.562389   2.202325  4.41e-15    33.000      0.72      446.80       *       *  
J1052-5954      163.158792    -59.912250   0.180592  2.00e-14    11.000      0.15      491.00       *       *  
J1052-6348      163.222458    -63.804611   0.383830  3.87e-16    10.000      0.11      167.50       *       *  
J1054-5943      163.740625    -59.720583   0.346909  4.07e-15     4.800      0.31      330.70       *       *  
J1054-5946      163.626917    -59.775278   0.228324  2.09e-16     7.000      0.23      253.90       *       *  
J1054-6452      163.536833    -64.877083   1.840004  3.14e-15    22.000      0.25      234.00       *       *  
J1055-6022      163.952083    -60.381111   0.947558  9.24e-14    23.000      0.16      590.00       *       *  
J1055-6028      163.913292    -60.477083   0.099661  2.95e-14     6.000      0.78      635.90       *       *  
J1055-6236      163.977542    -62.613417   0.448635  7.08e-16     7.300      0.12      149.70       *       *  
J1056-5709      164.182458    -57.159583   0.676082  5.76e-16    16.000      0.11      436.50       *       *  
J1056-6258      164.106458    -62.979889   0.422447  3.58e-15    20.000     21.00      320.30       *    0.61  
J1056-7117      164.191583    -71.298165   0.026310  6.30e-20     5.000      0.34       93.04       *       *  
J1058-5957      164.642708    -59.960111   0.616270  6.57e-16    16.000      0.51      334.00       *       *  
J1059-5742      164.753750    -57.703944   1.184999  4.30e-15    18.000      1.20      108.70       *    2.20  
J1101-6424      165.404968    -64.410926   0.005109  1.80e-21     0.540      0.27      207.00       *       *  
J1103-5403      165.888725    -54.062013   0.003393  3.68e-21     0.140      0.18      103.92       *       *  
J1103-6025      165.881167    -60.426775   0.396587  9.90e-16     5.500      0.17      275.90       *       *  
J1104-6103      166.071925    -61.051078   0.280905  1.97e-15     4.900      0.24       78.51       *    2.42  
J1105-6107      166.359042    -61.130944   0.063193  1.58e-14     4.800      0.75      271.01       *       *  
